Wall time,Step,Value
1624956974.9757307,2825210,28.653045654296875
1624956981.5695722,2827810,29.004173278808594
1624956992.41276,2832210,28.174238204956055
1624957005.8436298,2837710,27.14661407470703
1624957021.1471336,2843910,27.690139770507812
1624957024.3356166,2845210,29.036144256591797
1624957047.1490512,2854410,28.802824020385742
1624957054.4282556,2857310,28.008892059326172
1624957063.9753065,2861210,25.809661865234375
1624957133.2286322,2889210,29.232250213623047
1624957152.7590983,2897110,27.090309143066406
1624957159.1743817,2899710,29.5509033203125
1624957164.7175624,2901910,28.398149490356445
1624957169.4287956,2903810,27.467226028442383
1624957175.6864874,2906310,27.905364990234375
1624957179.5702794,2907910,26.124204635620117
1624957182.628263,2909110,26.946189880371094
1624957193.2441738,2913410,27.06904411315918
1624957209.9226136,2920210,26.93824577331543
1624957225.6121395,2926410,28.93837547302246
1624957276.7990713,2947210,28.01612091064453
1624957278.5173757,2947910,27.99040985107422
1624957280.7349443,2948810,28.39148712158203
1624957293.0458581,2953810,29.36895179748535
1624957293.7832255,2954110,28.377731323242188
1624957298.9221199,2956210,28.206144332885742
1624957306.513615,2959310,27.20675277709961
1624957311.1767023,2961210,25.672351837158203
1624957344.9839866,2974810,28.996850967407227
1624957365.0317883,2982910,28.5122013092041
1624957365.2705646,2983010,27.018701553344727
1624957373.6363082,2986410,28.31372833251953
1624957407.5993354,3000110,29.12062644958496
1624957408.8068159,3000610,26.53105354309082
1624957415.1753304,3003210,28.366735458374023
1624957426.505857,3007810,27.944108963012695
1624957430.1928158,3009310,27.836557388305664
1624957450.4459484,3017510,28.302705764770508
1624957461.115018,3021810,27.43390655517578
1624957467.559736,3024410,29.08356285095215
1624957477.562516,3028510,30.041040420532227
1624957488.0670838,3032810,28.813594818115234
1624957520.8166463,3046010,27.564189910888672
1624957522.5232458,3046710,28.524337768554688
1624957523.5232503,3047110,26.29135513305664
1624957548.633264,3057310,28.99536895751953
1624957558.50595,3061310,28.00118064880371
1624957581.8568232,3070710,28.007661819458008
1624957585.2958727,3072110,28.336122512817383
1624957589.6667955,3073910,28.021303176879883
1624957600.0150566,3078110,28.154376983642578
1624957667.1829865,3105310,25.8153018951416
1624957680.2251334,3110610,29.24471092224121
1624957709.607182,3122510,30.761871337890625
1624957754.539523,3140710,29.004825592041016
1624957763.647118,3144410,28.266584396362305
1624957786.9684842,3153810,28.99620819091797
1624957826.206971,3169710,27.045150756835938
1624957832.5943997,3172310,28.974781036376953
1624957842.365501,3176310,27.332889556884766
1624957853.7466123,3180910,28.148441314697266
1624957869.6601334,3187410,29.919437408447266
1624957871.4180439,3188110,28.20145034790039
1624957873.524865,3188910,27.835330963134766
1624957885.6080158,3193710,28.500612258911133
1624957887.8156917,3194610,28.055606842041016
1624957902.2693202,3200510,27.884794235229492
1624957905.4700425,3201810,27.114961624145508
1624957941.6279573,3216310,27.774749755859375
1624957944.5366704,3217510,28.49396324157715
1624957952.6916473,3220810,29.082183837890625
1624957962.953589,3225010,29.652557373046875
1624957978.9076908,3231510,29.402341842651367
1624957997.0442784,3238910,28.619220733642578
1624958008.7708764,3243610,29.920364379882812
1624958024.6911051,3250110,26.950210571289062
1624958031.7765977,3253010,27.818546295166016
1624958034.9550614,3254310,27.35251808166504
1624958052.0164607,3261210,28.405887603759766
1624958052.7468984,3261510,29.116470336914062
1624958063.354943,3265810,28.647377014160156
1624958075.349068,3270710,28.73322868347168
1624958089.4379573,3276310,28.736459732055664
1624958122.2982259,3289510,27.877660751342773
1624958124.235867,3290310,27.19817543029785
1624958125.9295154,3291010,28.394853591918945
1624958148.8141737,3300310,25.887710571289062
1624958151.7536871,3301510,28.005290985107422
1624958156.705811,3303510,30.024608612060547
1624958185.0624046,3314910,27.06492805480957
1624958186.0270464,3315310,26.880029678344727
1624958192.587278,3318010,27.357648849487305
1624958193.071365,3318210,26.84208106994629
1624958215.1221807,3327210,26.00543785095215
1624958232.0951564,3334210,28.00726318359375
1624958238.7269447,3336910,29.41170883178711
1624958240.4313252,3337610,26.886749267578125
1624958241.2287583,3337910,27.74102020263672
1624958247.2731106,3340410,25.83803367614746
1624958280.3605754,3354010,27.30207061767578
1624958302.8137596,3363210,30.220823287963867
1624958304.5101767,3363910,27.359052658081055
1624958326.3687665,3372910,27.34976577758789
1624958328.5473833,3373810,28.220521926879883
1624958331.4707391,3375010,27.53076171875
1624958336.1292737,3376910,27.588571548461914
1624958340.3354936,3378610,28.893157958984375
1624958353.5763342,3384010,27.265647888183594
1624958356.4718442,3385210,27.734039306640625
1624958362.593796,3387710,28.906169891357422
1624958371.5461535,3391410,29.3333683013916
1624958385.7692115,3397210,28.566844940185547
1624958396.945931,3401810,26.12871742248535
1624958401.7618146,3403710,28.639310836791992
1624958403.4535458,3404410,28.18305015563965
1624958414.7520256,3409010,25.155715942382812
1624958427.4267564,3414210,28.272510528564453
1624958428.157526,3414510,26.90105628967285
1624958436.6475809,3418010,27.42560577392578
1624958468.3067656,3431010,29.71531105041504
1624958481.1573725,3436210,30.034038543701172
1624958481.460854,3436310,28.202112197875977
1624958486.5234468,3438410,27.784046173095703
1624958499.9077342,3443910,27.71757698059082
1624958520.9776576,3452610,29.447385787963867
1624958521.211862,3452710,29.478843688964844
1624958530.326747,3456510,29.90620994567871
1624958539.1079106,3460010,27.900718688964844
1624958541.290406,3460910,27.647186279296875
1624958550.7923977,3464810,28.91205406188965
1624958562.6252763,3469710,28.376039505004883
1624958576.0019004,3475210,27.505592346191406
1624958583.7829847,3478410,29.603809356689453
1624958607.2017205,3487910,28.639225006103516
1624958644.0931678,3503110,29.002504348754883
1624958655.9597561,3508010,28.41817855834961
1624958664.7451012,3511610,30.07272720336914
1624958680.0323493,3517810,27.161224365234375
1624958698.7727463,3525510,27.95206642150879
1624958699.4979694,3525810,28.548166275024414
1624958717.970552,3533410,28.039833068847656
1624958723.1671677,3535510,28.275524139404297
